Key,Doc Num,Frequency,IDF
neo,1,1,8.006367567650246
1950,1,1,8.006367567650246
quản_lí,1,1,8.006367567650246
chấp_thuận,8,11,5.926926025970411
khu,34,47,4.480007043034085
ngàn,13,13,5.44141821018871
2803,1,1,8.006367567650246
ubnd,40,47,4.31748811353631
479qđ,1,1,8.006367567650246
rút_tiền,1,2,8.006367567650246
thời_hạn,13,16,5.44141821018871
liệu,19,19,5.061928588483807
hạn,19,24,5.061928588483807
vietcombank,2,6,7.313220387090301
jcb,1,4,8.006367567650246
tín_dụng,32,47,4.54063166485052
platinum,1,2,8.006367567650246
y,68,89,3.78685986247414
ngoại_thương,1,1,8.006367567650246
tctqct,1,1,8.006367567650246
n_dụng,6,6,6.214608098422191
nga,74,137,3.702302474446077
dầu_thô,11,13,5.608472294851876
nhập,2,3,7.313220387090301
vân,14,21,5.367310238034988
phong,10,13,5.703782474656201
sân_bay,13,22,5.44141821018871
casino,1,2,8.006367567650246
kinh_tế,65,85,3.8319802977546096
biển_cả,2,2,7.313220387090301
quy_hoạch,13,17,5.44141821018871
kết_hợp,12,12,5.521460917862246
mặt_trời,10,17,5.703782474656201
áp,6,9,6.214608098422191
bùng_nổ,5,6,6.396929655216146
pin,4,5,6.620073206530356
lắp_đặt,2,2,7.313220387090301
gdp,8,14,5.926926025970411
bùng_phát,2,2,7.313220387090301
đ226,18,22,5.115995809754082
phi234,7,9,6.060457418594933
ti234,18,23,5.115995809754082
li234,9,11,5.809142990314028
tiếp,23,27,4.870873351721097
n224,26,30,4.748271029628765
hồi_phục,10,10,5.703782474656201
cca,1,1,8.006367567650246
che_phủ,1,1,8.006367567650246
sức,24,27,4.8283137373023015
hút,19,20,5.061928588483807
loanh_quanh,1,1,8.006367567650246
đáy,9,12,5.809142990314028
tình_hình,17,18,5.173154223594031
yếu_tố,23,24,4.870873351721097
ủng_hộ,18,20,5.115995809754082
tăng_giá,14,16,5.367310238034988
khởi_sắc,3,3,6.907755278982137
đảo,16,30,5.233778845410465
phr,1,1,8.006367567650246
cao_su,4,8,6.620073206530356
phước_hòa,1,2,8.006367567650246
kampong,1,2,8.006367567650246
thom,1,2,8.006367567650246
ra_quân,1,2,8.006367567650246
cạo,1,1,8.006367567650246
công_ty_tnhh,7,7,6.060457418594933
ptcs,1,1,8.006367567650246
nông_trường,1,1,8.006367567650246
phấn_đấu,5,6,6.396929655216146
gta,1,1,8.006367567650246
gỗ,10,20,5.703782474656201
thuận,11,14,5.608472294851876
giải_pháp,21,29,4.961845129926823
muôn_vàn,1,1,8.006367567650246
chế_biến,7,10,6.060457418594933
nỗ_lực,23,24,4.870873351721097
sxkd,1,1,8.006367567650246
chính_phủ,45,53,4.199705077879927
cơ_chế,4,5,6.620073206530356
đặc_thù,3,4,6.907755278982137
quốc_hội,10,17,5.703782474656201
đầu_tàu,4,4,6.620073206530356
2045,2,2,7.313220387090301
dầu_khí,20,31,5.0106352940962555
thỏa_thuận,10,14,5.703782474656201
hợp_tác,22,26,4.915325114291931
pv,12,21,5.521460917862246
college,1,2,8.006367567650246
vũng_tàu,12,16,5.521460917862246
dkvn,1,1,8.006367567650246
vpa,3,3,6.907755278982137
cao_đẳng,2,2,7.313220387090301
sữa,7,11,6.060457418594933
ubcknn,1,1,8.006367567650246
ban_hành_quyết_định,6,6,6.214608098422191
190,2,3,7.313220387090301
qđ,5,5,6.396929655216146
xphc,1,1,8.006367567650246
hanoimilk,1,1,8.006367567650246
tự_nhiên,10,12,5.703782474656201
bồ,5,6,6.396929655216146
đào,9,11,5.809142990314028
đồng_ý,13,14,5.44141821018871
phát_điện,3,3,6.907755278982137
chuyển_hướng,2,3,7.313220387090301
thân_thiện,2,3,7.313220387090301
nikolai,1,1,8.006367567650246
shulginov,1,1,8.006367567650246
ảnh_hưởng,38,41,4.368781407923861
trừng_phạt,7,10,6.060457418594933
tây,41,55,4.292795500945939
liên_hợp,2,3,7.313220387090301
điều_tra,42,49,4.268697949366879
nổ,7,11,6.060457418594933
đường_ống,3,5,6.907755278982137
nord,2,4,7.313220387090301
stream,2,4,7.313220387090301
bảo_an,3,4,6.907755278982137
bác_bỏ,3,3,6.907755278982137
độc_lập,2,2,7.313220387090301
phá_hoại,2,3,7.313220387090301
vướng_mắc,7,8,6.060457418594933
cổ_phần_hoá,1,1,8.006367567650246
phim_truyện,2,4,7.313220387090301
254,2,2,7.313220387090301
2832023,1,1,8.006367567650246
ph242,2,2,7.313220387090301
ph225,28,32,4.674163057475043
b225,17,21,5.173154223594031
101tb,1,1,8.006367567650246
vpcp,2,2,7.313220387090301
thanh_tra,12,18,5.521460917862246
h243,10,11,5.703782474656201
h227,1,1,8.006367567650246
đổi_ngôi,1,1,8.006367567650246
thị_phần,3,5,6.907755278982137
bảo_hiểm_phi_nhân_thọ,1,1,8.006367567650246
bảo_hiểm_phi_nh226,1,1,8.006367567650246
thọ,13,14,5.44141821018871
x225,4,5,6.620073206530356
trộn,1,1,8.006367567650246
bảo,10,14,5.703782474656201
nhường,1,1,8.006367567650246
tr237,3,4,6.907755278982137
qu225,2,2,7.313220387090301
qu226,3,3,6.907755278982137
pvi,1,1,8.006367567650246
australia,8,13,5.926926025970411
origin,1,1,8.006367567650246
energy,1,1,8.006367567650246
aud,1,1,8.006367567650246
cam_kết,7,9,6.060457418594933
giảm_lượng,1,1,8.006367567650246
khí_thải,4,4,6.620073206530356
carbon,2,2,7.313220387090301
tối_hậu_thư,2,3,7.313220387090301
đe_dọa,13,14,5.44141821018871
chính_quyền,8,9,5.926926025970411
biden,12,17,5.521460917862246
thông_điệp,4,4,6.620073206530356
hành_động,14,15,5.367310238034988
cố_gắng,6,6,6.214608098422191
phá,16,21,5.233778845410465
vỡ,9,12,5.809142990314028
tình_thế,5,5,6.396929655216146
bế_tắc,2,2,7.313220387090301
lưỡng,2,2,7.313220387090301
